,gdp_real,gdp_nominal,unemployment_rate,cpi_all_items,cpi_annual_growth,interest_rate_short_term,interest_rate_long_term,industrial_production_index,exports_volume,imports_volume,trade_balance,household_consumption,capital_formation,employment_level,money_supply_broad,exchange_rate_usd,stock_market_index,government_spending,population_total,population_working_age,country,gdp_growth_qoq,gdp_growth_yoy,ip_growth,employment_growth,consumption_growth,investment_growth,exports_growth,imports_growth,m2_growth,gdp_real_lag1,gdp_real_lag2,gdp_real_lag4,unemployment_rate_lag1,unemployment_rate_lag2,unemployment_rate_lag4,cpi_annual_growth_lag1,cpi_annual_growth_lag2,cpi_annual_growth_lag4,industrial_production_index_lag1,industrial_production_index_lag2,industrial_production_index_lag4,interest_rate_short_term_lag1,interest_rate_short_term_lag2,interest_rate_short_term_lag4,trade_gdp_ratio,gov_gdp_ratio,gdp_growth_yoy_ma4,unemployment_rate_ma4,cpi_annual_growth_ma4,gdp_real_diff,employment_level_diff,industrial_production_index_diff,gdp_constant,gdp_current,unemployment,inflation,exports,imports,gross_capital_formation,government_expenditure,population,urban_population,gni_per_capita,interest_rate,exchange_rate,fdi_inflows,external_debt,manufacturing_value_added,services_value_added,gdp_constant_lag1,gdp_constant_lag2,gdp_constant_lag4,unemployment_lag1,unemployment_lag2,unemployment_lag4,inflation_lag1,inflation_lag2,inflation_lag4,interest_rate_lag1,interest_rate_lag2,interest_rate_lag4,unemployment_ma4,inflation_ma4,gdp_constant_diff,gdp_growth
2014-06-30,-1.158390911088805,-0.14235902829231192,1.7341340884198335,-0.8194712642945592,-1.038375911051319,-0.7794248954902371,-0.482581143491093,-0.8649494690730238,0.09628753565941386,-0.3438030172776051,0.8991002003465332,-1.2506545980849464,-0.7027179450291796,-1.1180185386863581,,-1.045827164018271,-0.500892573924188,-1.3928947120874018,1.1504773124929046,0.8977813969538565,Italy,-0.03532494198080255,-0.050954793904818094,0.1361448174220765,-0.045877547998366075,-0.04240633071000195,-0.8139045351221085,-0.02536986725707695,-0.13614128312355225,,-1.1648539910385924,-1.1478229342905812,-1.2005881246962227,1.8780353122845583,1.6553689121889612,1.6084482163741245,-1.0036705564934083,-0.9391474725180932,-0.6756307399332703,-1.0151306842362902,-1.0043843683155085,-0.9212845625077724,-0.7068739395398974,-0.7136001609770358,-0.7419092370646874,0.9353105246449515,0.18986598161677717,-0.2655844334755351,1.7637366812282094,-0.9918136486964907,-0.02928301781303582,-0.36940671304727724,0.4626489139746667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-30,-1.1528563821198223,-0.14182821000200455,1.8699124356136128,-1.075156398278513,-1.059319861456497,-0.8191121045504817,-0.8476060138519639,-1.0619324445974831,0.11818298184466801,-0.328419093677555,0.8991002003465332,-1.1372179456607927,-0.6672518516637413,-1.0119001237389302,,-0.7031136604679017,-0.6504550566698416,-1.0687470700185973,1.1284747107964024,0.8210646474986467,Italy,-0.04797070126909687,-0.13325820307936656,-0.17154312064767732,0.15355288280171825,0.010689812393861586,-0.40188238718869995,-0.053982783513755114,-0.390170018488416,,-1.1524278540083277,-1.1592151206778072,-1.1144849174254796,1.7296382884961823,1.8747333187900115,1.5999981779618844,-1.0406263367292286,-1.006116627721461,-0.8354818415636128,-0.8720652433777899,-1.0222437465150827,-0.9212845625077724,-0.7731576458551059,-0.7003557055191298,-0.7452516506746649,0.9351214540112496,0.4773924530419411,-0.16022656204343996,1.8289770319894938,-1.0533020017105779,-0.04267528366481689,0.308442816379469,-0.4906883624438476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,-1.1793192619206425,-0.11755728550451212,1.9934370950049747,-0.9953800188553477,-1.080300325943051,-0.8401600897023741,-1.1354140847134198,-0.9813490412650027,0.17549504020608356,-0.4263711740005461,0.8991002003465332,-1.0342833076764326,-0.6389734133146715,-0.9003591694148502,,-0.38296060623445227,-0.8852184897246206,-1.0356890373933767,1.1039512807527203,0.6841940377852572,Italy,-0.10759351531999627,-0.13884133359242398,0.10832952773095661,0.14856812785736917,0.1092612211029812,-0.45972434186405675,0.09964020543230251,-0.3278622223094534,,-1.1468428745266896,-1.146667636768867,-1.1365670279188402,1.8661878100506697,1.725434228735157,1.6503240396449073,-1.0615018570163075,-1.0429512710918356,-0.9447143307783162,-1.0687801183957222,-0.8793661763642258,-1.0192661255701831,-0.8126652468629652,-0.7663506101827735,-0.6952287486812707,0.9360262212200414,0.5418925949859955,-0.10960706350284942,1.9133833301666778,-1.0914308410293334,-0.10588446947497432,0.3354483235528758,0.2870324594016235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-31,-1.0897732715700492,-0.08527133452418253,1.6081659698570094,-1.170911390114824,-1.1169291269551185,-0.8518024357128217,-1.6239858342733544,-0.9097192549186272,0.2159084281024762,-0.2334520884983654,0.8991002003465332,-0.8888813039727653,-0.9180328077092956,-0.8304152179909349,,0.5883733216978032,-0.3474048918545765,-1.3921705026097833,1.0801004220350607,0.5579901974837482,Italy,0.1087382805406396,-0.03165693209313816,0.2501571091154699,0.21916002456388534,0.29189266335801295,-0.7092630274717363,0.028006847047783417,0.03406550261075015,,-1.1735469791652107,-1.141028117422916,-1.1481978311605354,1.9904140470662008,1.8628137987229185,1.8733569205978433,-1.0824137720823936,-1.0637583637858292,-1.011243153339845,-0.9883063918065926,-1.0758227292985587,-1.0370814167220517,-0.8336179774552833,-0.8056860744611901,-0.682029047475766,0.932972187588971,0.10235920484676679,-0.09893265054803196,1.84311308686405,-1.1215436302799011,0.1232849073886736,0.12828557521961761,0.261945075296965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,-0.9889828950143874,-0.04313557210104113,1.6863306690972932,-1.0114779030913434,-1.1775805420196008,-0.890858778733091,-0.9887021656645313,-0.8649494690730238,0.27414162710882134,-0.04802975767291523,0.8991002003465332,-0.6206206277978955,-0.9624178890512495,-0.8291174386924253,,0.3036172393297441,-0.30992641060189985,-1.3319759148527486,1.057690130564209,0.5603083300488498,Italy,0.12905367744119703,0.06241356139600053,0.09418012541092247,0.2914273141400084,0.5351061516800674,-0.5880402794970307,0.15114711068300443,0.26552119182769335,,-1.083184724025914,-1.1679929997864706,-1.1353875319288746,1.6029547143006302,1.9877951741836997,1.721561072335436,-1.1189228959022128,-1.0846017319608632,-1.047835603184301,-0.9167740960273627,-0.995454679215721,-0.8945565492342389,-0.845207634976375,-0.8265475128863038,-0.7478009491907495,0.9295601271230666,0.02807874580968276,-0.06325041373288438,1.830832188850866,-1.157795768403964,0.1454975966120619,-0.21358832646959597,0.18668530590321958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-30,-0.9790885364669688,-0.01968889960713034,1.2452810897990785,-0.9477401804051154,-1.2352422396612581,-0.9007232295399727,-1.1845520480312293,-0.8828601048753946,0.09254600583390597,-0.34448684737782914,0.8991002003465332,-0.5024171035712824,-0.961316131712974,-0.6010712973429836,,0.3025004408627207,-0.4811690993477642,-1.1575692324201554,1.0342255311925523,0.4676502196930501,Italy,-0.03996690900472346,0.06701101276672353,0.37959985402734125,0.5663314695472024,0.5374701657205847,-0.6412630182001363,-0.30985473456868073,-0.187711229697764,,-0.9814755834351407,-1.0767483161350373,-1.129629889132226,1.6815633621764097,1.5979805785914396,1.8612380680395297,-1.179376144746119,-1.1209911830044217,-1.0685058859981773,-0.8720652433777899,-0.9240163182326707,-1.0905281362686112,-0.8840872249855541,-0.8380866736500591,-0.7870034952603177,0.929226615774804,0.17294925581530898,-0.00021647831376048237,1.6703617881452582,-1.2036100657404207,-0.03406267131528015,0.9156712496415834,0.01105931964928594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,-0.8427883415214151,0.002564255985591537,1.3047871188981333,-0.9634964212748282,-1.2522885233450725,-0.937026702567624,-1.4239241264794156,-0.9723954242788987,0.11891740721260483,-0.40114538199559313,0.8991002003465332,-0.38729218405042437,-0.6723409212738708,-0.537702458518862,,0.5362804521132357,-0.4343291481127412,-0.9105285994385615,1.006333258925797,0.39834141560892583,Italy,0.19396455805791155,0.24047529602887793,0.10831447540800836,0.45296309842224597,0.5472280423492156,-0.2348522836383732,-0.3785848346983158,-0.12725689631821271,,-0.9714910319437674,-0.9740459395358906,-1.1571595687341698,1.238008772805635,1.6770670676509032,1.9883095317577697,-1.2368494444636469,-1.181246272939918,-1.0892122057761473,-0.8899515021977434,-0.8793661763642258,-1.0103584799942484,-0.893907033328548,-0.8767968632072868,-0.8077944409359411,0.9246583145957944,0.22145563964933937,0.11917191512422022,1.4934447340264538,-1.2483998104820828,0.21564536154013597,0.09553998535000495,-0.18962783858685495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-31,-0.7971562378366763,0.09280995935384126,1.18072697802877,-1.0920835702465752,-1.192854785491901,-0.9878974459728797,-1.5671261910056034,-0.8291367020436874,0.05578832258880892,-0.488881091870239,0.8991002003465332,-0.32523595451788506,-0.6574934295247302,-0.39507379099865014,,0.3638722096517922,-0.8441238696927628,-0.8093096748025429,0.9708319331684973,0.2577584341789606,Italy,0.025720091208541483,0.1926357293946495,0.22031578426647985,0.6150438783751239,0.46382371648039283,0.22571307051421907,-0.6080722285324526,-0.5293051752930042,,-0.8339483799167533,-0.9639638843588988,-1.0640037050282791,1.2978527757046159,1.2308162272219962,1.5919759895958336,-1.2538400328663386,-1.238531181685041,-1.1253623905027808,-0.9793649609966942,-0.8972289473028193,-0.9390964692958202,-0.9300462117071243,-0.8865738861204192,-0.8192946097973897,0.9231396397142588,0.25417728659376304,0.18976713406226176,1.3836338723790382,-1.2681726258064738,0.03653535082683757,0.49027236509653227,0.4626441481342197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,-0.7262125766393432,0.11035828451011435,1.376073740513215,-1.2437801704551241,-1.03656168218182,-1.0135908992373153,-1.512372460451473,-0.9276264888908362,0.06677295387149092,-0.5326366493767853,0.8991002003465332,-0.28397272047784494,-0.5983657857039478,-0.16889717786944042,,0.2925750911065095,-1.004040532714904,-0.78800939604919,0.9267948579117625,0.21635121118638512,Italy,0.07208659269916141,0.15987926548059359,-0.003413304575478657,1.12346556653708,0.24190572027572652,0.3886573837396701,-0.708997380545643,-0.8372210565270969,,-0.7879003125542833,-0.8250780657896554,-0.9591501594421094,1.1730880158602714,1.2910240059898461,1.672385057651547,-1.1946004827199594,-1.2554660768617194,-1.1852212938228872,-0.8363012187382722,-0.9865249901159345,-0.8945565492342389,-0.9806867349643079,-0.9225556041670053,-0.8578739940074703,0.920789181581984,0.1831703936672445,0.22044407495351268,1.3039275720385484,-1.2314480200991975,0.08653699169308074,0.9063605643232354,-0.21471760561173356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-30,-0.5419659448815687,0.1700638026416218,1.4121121638676306,-1.053254599292222,-0.8202011991076038,-1.0196128023461675,-1.6436410196004783,-0.7037792605779011,0.13220485444734212,-0.4784371748374328,0.8991002003465332,-0.18983941610792185,-0.5920175648500751,-0.18758792238190392,,0.3067395561706455,-1.0427519960143588,-0.7731418014793309,0.8846017787317384,0.18134404984093794,Italy,0.27937592063049144,0.3439360653999843,0.37361069740033953,0.5572141977737914,0.21774121004830035,0.3968784687208509,-0.16201287813999313,-0.35914239470167036,,-0.7163099578267277,-0.7785803181098141,-0.9488569289725841,1.3695442808374843,1.1655008341623787,1.2186714761700401,-1.0388180354852918,-1.1964207072567696,-1.2421295453572592,-0.9346569576471606,-0.843649116334588,-0.9123752247499278,-1.0062639101832687,-0.9729754839574034,-0.8676179794467272,0.9147444515828469,-0.035350810543067775,0.3076051286874894,1.3467871715212103,-1.1233616365884787,0.3103610072726363,-0.31313582362328046,0.6884472855176906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,-0.44307495788757423,0.1996198309860863,1.440960578638787,-0.9771687316221174,-0.6010660431462083,-1.0238568102514536,-1.2084190587855939,-0.4351707509947677,0.24085266031660205,-0.2659148562714198,0.8991002003465332,-0.078215168066995,-0.5616930057299223,-0.14637662311941133,,0.7992791392394948,-0.7802301662454258,-0.583143314999267,0.8587859830703409,0.13400711093908085,Italy,0.12167039558411821,0.30219408011354676,0.941351975456364,0.5053892036455777,0.21332453461953485,-0.010374485285957849,0.02341698772471321,0.033964695558926145,,-0.5303838087912698,-0.7062908510138458,-0.8070620553693998,1.4057873900543048,1.363151304824788,1.2798861215285833,-0.8231644664899522,-1.0411488972547367,-1.258953090956512,-0.7111143929993751,-0.9418756964322448,-1.0014508344183148,-1.0122585606252126,-0.998441218056725,-0.9034781119063178,0.9115350714483251,0.009608735293388567,0.3270308693521439,1.381770701881116,-0.9537680883174939,0.14174545316216447,-0.014809714673016571,0.8138651426791922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-31,-0.32568099442515597,0.2427595323495907,1.2020370613135005,-0.3551371756126589,-0.43789780084766244,-1.0256347054550194,-0.8469040429474238,-0.5426175566581821,0.391037867490566,-0.014956148923016615,0.8991002003465332,0.11740036803497622,-0.703924631637767,0.06258399470019149,,0.6821932835462672,-0.54532361338141,-0.6938621639592647,0.8629113647596169,0.0074169152100549566,Italy,0.15453567270847293,0.37672080993509094,0.538450104992605,0.6479904175871611,0.3393660332622429,-0.25523435186525173,0.5128099836883192,0.5407316824986851,,-0.43059137182405716,-0.5185490485862975,-0.7595903817095815,1.4347996539094896,1.3996147263186487,1.1522638008758743,-0.6047452902893932,-0.82620221625374,-1.2002959538670777,-0.44287146870240635,-0.7186266834595304,-0.8589276591124128,-1.0164833618890587,-1.0044097494862536,-0.9537276182122527,0.9077564725017636,-0.23353392619853694,0.3849709128550253,1.3872453512509957,-0.7571596515530238,0.17829710289254289,0.8206209038916781,-0.23981452139727918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,-0.22342370470029774,0.29645955038299565,1.0673816655687336,-0.2706672236639338,-0.36448938493454613,-1.0286169812803558,-1.0911899177273912,-0.38144734816305925,0.4650015506376161,0.0037597827169658688,0.8991002003465332,0.23088667537373883,-0.7050263889760424,0.0551104195091167,,0.29021172533650397,-0.36010310727552064,-0.6745641114087157,0.9032312051076166,-0.04168382020872725,Italy,0.126268823654282,0.40812233718995095,0.9509203441040428,0.12425992391322789,0.40719800930759603,-0.34886300704142265,0.6548791851939719,0.6394006688240528,,-0.31212729278856255,-0.41778209309318376,-0.6857867640666183,1.1945191330962424,1.4288033480539972,1.3532196194454391,-0.4421101671911166,-0.6084989933949676,-1.0460450802363297,-0.5501720356213488,-0.45073601046592066,-0.9569117604476888,-1.0182532110671565,-1.0086161430651592,-0.9791073012168287,0.9044924130253958,-0.34205376254759334,0.4631044277053461,1.3079410683441073,-0.5821363238110342,0.14839540586112232,-0.2572717117132088,0.5128308309446474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
