date,gdp_real,gdp_nominal,unemployment_rate,cpi_all_items,cpi_annual_growth,interest_rate_short_term,interest_rate_long_term,industrial_production_index,exports_volume,imports_volume,trade_balance,household_consumption,capital_formation,employment_level,money_supply_broad,exchange_rate_usd,stock_market_index,government_spending,population_total,population_working_age,country,gdp_growth_qoq,gdp_growth_yoy,ip_growth,employment_growth,consumption_growth,investment_growth,exports_growth,imports_growth,m2_growth,gdp_real_lag1,gdp_real_lag2,gdp_real_lag4,unemployment_rate_lag1,unemployment_rate_lag2,unemployment_rate_lag4,cpi_annual_growth_lag1,cpi_annual_growth_lag2,cpi_annual_growth_lag4,industrial_production_index_lag1,industrial_production_index_lag2,industrial_production_index_lag4,interest_rate_short_term_lag1,interest_rate_short_term_lag2,interest_rate_short_term_lag4,trade_gdp_ratio,gov_gdp_ratio,gdp_growth_yoy_ma4,unemployment_rate_ma4,cpi_annual_growth_ma4,gdp_real_diff,employment_level_diff,industrial_production_index_diff
2019-06-30,139193350.0,140230125.0,2.333333,0.7392473,0.35067670000996626,-0.0619999999999999,-0.165,102.3369,13.7908282725105,14.264826017527,-0.24,75568975000000.0,27515850000000.0,77.8532,792159700000000.0,108.063,99.27679,27567650.0,126564414.52433635,75346940.0,Japan,0.45211021753936986,-0.055736667313488475,-1.3180809189248577,1.2244863994857358,-0.17582080808220546,1.7901980713545207,-6.2052744364231245,-0.9478822446907786,4.997064783780791,138566875.0,138232900.0,139270975.0,2.466667,2.466667,2.366667,0.468776159383928,0.6212541762311926,0.9225772890039171,102.7014,104.4328,103.7038,-0.0409999999999998,-0.068,-0.0709999999999999,-1.7242203021911608e-07,19.80529242237506,-0.11033576987287408,2.4250000000000003,0.5568533780982817,626475.0,0.23299000000000092,-0.3645000000000067
2019-09-30,139318925.0,140360700.0,2.333333,0.3345600999999999,0.24878240980497737,-0.0589999999999999,-0.215,102.428,13.6877721803439,14.0180268359824,-0.24,76220350000000.0,27774175000000.0,77.85673,802517900000000.0,107.44380952381,102.0022,27744300.0,126479620.49167074,75304980.0,Japan,0.09021623518652433,0.6130931994463129,0.267633567161929,0.8794999089765998,0.6646451065875469,2.600363868083977,-6.860322483593451,-7.128151506542013,4.924736974914068,139193350.0,138566875.0,138469975.0,2.333333,2.466667,2.433333,0.35067670000996626,0.468776159383928,0.7867064767680401,102.3369,102.7014,102.1546,-0.0619999999999999,-0.0409999999999998,-0.0579999999999998,-1.7226661776208796e-07,19.91423634656957,0.04404782968838172,2.4000000000000004,0.42237236135751605,125575.0,0.0035299999999978127,0.0910999999999973
2019-12-31,135406100.0,137527825.0,2.3,0.5001667,0.13329464235780786,-0.0379999999999999,-0.025,98.41837,13.6573678853201,13.8239008866618,-0.24,73585325000000.0,27850500000000.0,78.1249,818403900000000.0,109.178636363636,111.161,27835325.0,126378337.47208402,75110490.0,Japan,-2.8085380360205914,-2.0449545658088653,-5.759138891229576,0.9787813096017839,-2.6405419610663117,2.1738612037955907,-7.340430731031167,-10.420164607161919,5.751215764919171,139318925.0,139193350.0,138232900.0,2.333333,2.333333,2.466667,0.24878240980497737,0.35067670000996626,0.6212541762311926,102.428,102.3369,104.4328,-0.0589999999999999,-0.0619999999999999,-0.068,-1.7724459976323076e-07,20.556920995435213,-0.39943255799057553,2.3583332500000003,0.3003824778891699,-3912825.0,0.2681699999999978,-4.009630000000001
2020-03-31,136142300.0,138619700.0,2.433333,0.6686727,-0.024995834027682,-0.047,0.005,96.14017,13.338064974542,13.1080174289816,-0.24,74218650000000.0,27852325000000.0,78.01649,833887700000000.0,107.492272727273,89.01700000000001,27833200.0,126261000.0,75009780.0,Japan,0.5436978097737022,-1.7497507972233595,-6.388647087576227,0.5105371397474912,-1.559139535361831,1.880703448565968,-4.994275932447856,-8.47198459606673,6.237476558359489,135406100.0,139318925.0,138566875.0,2.3,2.333333,2.466667,0.13329464235780786,0.24878240980497737,0.468776159383928,98.41837,102.428,102.7014,-0.0379999999999999,-0.0589999999999999,-0.0409999999999998,-1.762861359033893e-07,20.444196990942565,-0.8093372077248501,2.3499997500000003,0.17693947953626737,736200.0,-0.10840999999999212,-2.2781999999999982
2020-06-30,125771250.0,128492850.0,2.733333,0.1334222999999999,-0.2346053304765906,-0.048,0.03,81.92418,11.1990782445399,13.1060964348905,-0.24,68195575000000.0,27913225000000.0,77.09524,889548200000000.0,107.585909090909,102.2208,28004500.0,126126935.0638353,75088950.0,Japan,-7.617801374003519,-9.642773882516654,-19.946588180802816,-0.9735759095322982,-9.75717878931135,1.4441676342907828,-18.793287660152956,-8.122984333722572,12.294048788394552,136142300.0,135406100.0,139193350.0,2.433333,2.3,2.333333,-0.024995834027682,0.13329464235780786,0.35067670000996626,96.14017,98.41837,102.3369,-0.047,-0.0379999999999999,-0.0619999999999999,-1.908226244074063e-07,22.266217438405043,-3.2060965115256415,2.44999975,0.03061897191462816,-10371050.0,-0.9212500000000006,-14.21598999999999
2020-09-30,132478800.0,135046325.0,2.966667,0.0333444499999999,-0.4126648671343306,-0.0539999999999999,0.015,91.03699,12.326054445991,11.7501362768265,-0.24,71815200000000.0,28564500000000.0,77.19917,916765700000000.0,105.559545454545,105.3336,28514025.0,125979883.47351678,74910140.0,Japan,5.3331345597662505,-4.909688328416262,-11.120992306791111,-0.8445769556466143,-5.7794932718099545,2.8455390664169133,-9.948424889101915,-16.178386485425523,14.236168439358178,125771250.0,136142300.0,139318925.0,2.733333,2.433333,2.333333,-0.2346053304765906,-0.024995834027682,0.24878240980497737,81.92418,96.14017,102.428,-0.048,-0.047,-0.0589999999999999,-1.8116106124149674e-07,21.523462621944038,-4.586791893491285,2.6083332500000003,-0.13474284732019884,6707550.0,0.1039299999999912,9.112809999999996
2020-12-31,134848300.0,137233775.0,3.066667,-0.928998,-0.44638236965925027,-0.0259999999999999,0.02,94.40873,13.5523798653205,12.1844524191685,-0.24,73070400000000.0,28778750000000.0,77.52866999999999,932868500000000.0,103.790434782609,114.8566,28769600.0,125828088.93685384,74875520.0,Japan,1.7885880608822013,-0.41194599061638026,-4.0740768212275675,-0.7631753768644889,-0.6997658840264709,3.3329742733523737,-0.7687280659141482,-11.859521280821305,13.986321423932612,132478800.0,125771250.0,135406100.0,2.966667,2.733333,2.3,-0.4126648671343306,-0.2346053304765906,0.13329464235780786,91.03699,81.92418,98.41837,-0.0539999999999999,-0.048,-0.0379999999999999,-1.7797777205941788e-07,21.33478879600262,-4.178539749693164,2.8,-0.27966210032446337,2369500.0,0.3294999999999959,3.3717400000000026
2021-03-31,135259000.0,137761200.0,2.866667,-0.5313849,-0.23335277939831,-0.017,0.12,96.77806,14.4457359445928,13.8363114291231,-0.24,72126675000000.0,28747975000000.0,77.82606,951705200000000.0,108.692173913043,125.5606,28729075.0,125681593.0,74653660.0,Japan,0.3045644624366739,-0.6488064326811038,0.6634999709278722,-0.24408942263360878,-2.8186648504115897,3.215709999075478,8.304585201563942,5.5560957565653935,14.128701022931512,134848300.0,132478800.0,136142300.0,3.066667,2.966667,2.433333,-0.44638236965925027,-0.4126648671343306,-0.024995834027682,94.40873,91.03699,96.14017,-0.0259999999999999,-0.0539999999999999,-0.047,-1.7743736091498533e-07,21.240046873036174,-3.9033036585575998,2.9083335,-0.3317513366671204,410700.0,0.29739000000000715,2.369329999999991
2021-06-30,136110675.0,138550450.0,2.9,-0.7328448,0.2928930209310362,-0.0289999999999999,0.05,98.87401,15.0645887725985,15.1065666907014,-0.24,72378700000000.0,29251050000000.0,77.77804,966047500000000.0,110.078181818182,125.9228,29372200.0,125540280.58280385,74545470.0,Japan,0.6296623514886246,8.220817555681448,20.68965475150315,0.885657791583494,6.134012360772667,4.792799828755001,34.51632753743128,15.263661958760899,8.599792568856856,135259000.0,134848300.0,125771250.0,2.866667,3.066667,2.733333,-0.23335277939831,-0.44638236965925027,-0.2346053304765906,96.77806,94.40873,81.92418,-0.017,-0.0259999999999999,-0.048,-1.7632709557865317e-07,21.579644653147152,0.5625942009919251,2.95000025,-0.19987674881521367,851675.0,-0.048019999999993956,2.095950000000002
2021-09-30,135468275.0,137808725.0,2.766667,-0.7328448,1.0318973533094788,-0.0219999999999999,0.065,89.57894,15.0248229505786,15.728711367013,-0.24,71545075000000.0,29628650000000.0,77.93091,980519200000000.0,110.146363636364,133.0395,29560150.0,125401949.78857367,74335080.0,Japan,-0.471968859165528,2.256568598145514,-1.6016017225525592,0.9478599316547154,-0.3761390346333382,3.7254284163909857,21.894828685146383,33.8598208263593,6.954175968843512,136110675.0,135259000.0,132478800.0,2.9,2.866667,2.966667,0.2928930209310362,-0.23335277939831,-0.4126648671343306,98.87401,96.77806,91.03699,-0.0289999999999999,-0.017,-0.0539999999999999,-1.7716325095303678e-07,21.820717802747545,2.354158432632369,2.90000025,0.1612638062957387,-642400.0,0.15286999999999296,-9.295069999999996
2021-12-31,137080475.0,139094825.0,2.733333,-0.7328448,1.82320339180062,-0.0259999999999999,0.07,96.32242,15.4583673148194,16.5763019943748,-0.24,73616625000000.0,29285975000000.0,78.07644,997356400000000.0,113.92347826087,127.4835,29272850.0,125263897.5767726,74260550.0,Japan,1.1900941382770203,1.6553230556113796,2.0270265260426523,0.7065386262914197,0.7475325165867464,1.7624983711940212,14.063857923405587,36.0447020852334,6.9128607086636595,135468275.0,136110675.0,134848300.0,2.766667,2.9,3.066667,1.0318973533094788,0.2928930209310362,-0.44638236965925027,89.57894,98.87401,94.40873,-0.0219999999999999,-0.0289999999999999,-0.0259999999999999,-1.7507963843866165e-07,21.35449997528824,2.870975694189309,2.81666675,0.7286602466607063,1612200.0,0.14553000000000793,6.743479999999991
