,gdp_real,gdp_nominal,household_consumption,capital_formation,government_spending,exports_volume,imports_volume,unemployment_rate,employment_level,cpi_all_items,interest_rate_short_term,interest_rate_long_term,industrial_production_index,trade_balance,money_supply_broad,population_total,population_working_age,country
1990-09-30,10090.569,6015.116,3846.7,1000.785,1242.584,555.149,630.102,5.7,118712.0,131.53333333333333,8.160217391304348,8.703333333333333,62.79926666666666,,3240.366666666667,,160003933.33333334,usa
1990-12-31,9998.704,6004.733,3867.909,947.453,1268.467,568.186,647.282,6.133333333333333,118361.0,133.76666666666665,7.7433695652173915,8.396666666666667,61.83443333333333,,3264.566666666667,,160479233.33333334,usa
1991-03-31,9951.916,6035.178,3873.562,924.569,1284.187,573.177,620.317,6.6000000000000005,117782.33333333333,134.76666666666668,6.430444444444444,8.016666666666666,60.673399999999994,,3304.7000000000003,252981000.0,160706933.33333334,usa
1991-06-30,10029.51,6126.862,3926.932,926.541,1296.577,590.733,613.921,6.833333333333333,117729.33333333333,135.56666666666666,5.864065934065934,8.13,61.020833333333336,,3342.433333333333,,161076000.0,usa
1991-09-30,10080.195,6205.937,3973.269,947.476,1306.265,600.595,621.669,6.866666666666667,117660.0,136.6,5.645217391304348,7.94,61.8953,,3355.3333333333335,,161369033.33333334,usa
1991-12-31,10115.329,6264.54,4000.032,978.788,1308.774,615.217,638.27,7.1000000000000005,117678.66666666667,137.73333333333332,4.818478260869566,7.346666666666667,62.0224,,3365.933333333333,,161833066.66666666,usa
1992-03-31,10236.435,6363.102,4100.401,956.817,1326.421,625.287,645.823,7.366666666666667,117958.33333333333,138.66666666666666,4.024285714285714,7.303333333333334,61.94726666666667,-1832.6666666666667,3395.0333333333333,256514000.0,161989333.33333334,usa
1992-06-30,10347.429,6470.763,4155.66,1013.084,1334.807,626.163,658.951,7.6000000000000005,118406.66666666667,139.73333333333332,3.774065934065934,7.376666666666666,63.069700000000005,-3284.0,3397.2333333333336,,162376433.33333334,usa
1992-09-30,10449.673,6566.641,4226.971,1024.162,1353.997,639.365,677.853,7.633333333333333,118753.0,140.79999999999998,3.259239130434783,6.616666666666667,63.56613333333333,-3588.6666666666665,3401.0,,162763433.33333334,usa
1992-12-31,10558.648,6680.803,4307.205,1057.962,1362.775,641.396,688.536,7.366666666666667,118833.66666666667,142.03333333333333,3.034891304347826,6.743333333333333,64.2135,-4363.666666666667,3425.0,,163393866.66666666,usa
1993-03-31,10576.275,6729.459,4349.515,1083.829,1351.818,643.606,699.31,7.133333333333333,119297.33333333333,143.0666666666667,3.0423333333333336,6.28,64.8008,-4748.0,3415.1,259919000.0,163519133.33333334,usa
1993-06-30,10637.847,6808.939,4418.581,1094.479,1359.066,653.094,716.281,7.066666666666666,119959.66666666667,144.1,2.9972527472527473,5.989999999999999,64.93016666666666,-5914.333333333333,3430.2000000000003,,163965666.66666666,usa
1993-09-30,10688.606,6882.098,4487.189,1095.852,1367.411,650.897,719.251,6.8,120625.66666666667,144.76666666666668,3.057717391304348,5.616666666666667,65.17706666666668,-6331.333333333333,3446.633333333333,,164360400.0,usa
1993-12-31,10833.987,7013.738,4552.651,1153.142,1381.394,671.6,745.049,6.633333333333333,121152.0,145.96666666666667,2.9882608695652175,5.6066666666666665,66.19523333333333,-6443.0,3467.1,,164865533.33333334,usa
1994-03-31,10939.116,7115.652,4621.223,1201.675,1373.35,681.232,761.827,6.566666666666666,121994.0,146.70000000000002,3.209333333333334,6.066666666666666,67.01046666666667,-7306.0,3476.9,263126000.0,165215433.33333334,usa
1994-06-30,11087.361,7246.931,4683.163,1264.948,1389.392,706.988,797.56,6.2,122596.0,147.53333333333333,3.938021978021978,7.083333333333333,68.23423333333334,-7998.333333333333,3483.866666666667,,165692866.66666666,usa
1994-09-30,11152.176,7331.075,4752.761,1251.749,1423.432,736.883,833.751,6.0,123245.0,148.9,4.485434782608695,7.333333333333333,69.10446666666667,-8450.666666666666,3486.6666666666665,,166033300.0,usa
1994-12-31,11279.932,7455.288,4826.713,1307.566,1422.923,758.646,860.559,5.633333333333333,124449.66666666667,149.76666666666668,5.167934782608696,7.836666666666666,70.50456666666666,-9076.333333333334,3485.9666666666667,,166299733.33333334,usa
1995-03-31,11319.951,7522.289,4862.436,1327.586,1437.596,781.57,886.899,5.466666666666666,124848.66666666667,150.86666666666667,5.802777777777778,7.483333333333333,71.23963333333333,-9283.0,3491.133333333333,266278000.0,166549566.66666666,usa
1995-06-30,11353.721,7580.997,4933.609,1303.988,1452.892,798.851,908.343,5.666666666666667,124629.33333333333,152.1,6.019120879120879,6.62,71.46206666666667,-9774.0,3524.1,,166980200.0,usa
