,cpi_all_items,industrial_production_index,stock_market_index,population_total,population_working_age,unemployment_rate,interest_rate_short_term,interest_rate_long_term,interest_rate_10y,interest_rate_2y,interest_rate_5y,interest_rate_3m,yield_curve_spread,corporate_bond_baa,corporate_bond_aaa,ted_spread,consumer_sentiment,capacity_utilization,gdp_real,gdp_nominal,household_consumption,capital_formation,government_spending,exports_volume,imports_volume,employment_level,building_permits,housing_starts,trade_balance,money_supply_broad,country
2001-03-31,176.1,91.0585,1160.3299560546875,284968955.0,180598400.0,4.233333333333333,5.597,5.05,5.05,4.586666666666667,4.796666666666667,4.816666666666666,0.4640322580645161,7.88,7.076666666666667,0.5203225806451612,92.26666666666668,78.62716666666667,14183.12,10470.231,6995.298,1971.333,1906.253,1096.812,1499.464,137783.0,1659.0,1590.0,-32812.0,5074.8,usa
2001-06-30,177.7,89.7811,1224.3800048828125,284968955.0,181356400.0,4.4,4.326703296703297,5.27,5.27,4.19,4.833333333333333,3.66,1.0844444444444443,8.036666666666667,7.223333333333334,0.521311475409836,91.0,76.92906666666666,14271.694,10599.0,7042.25,1973.033,1947.731,1058.013,1422.028,136873.0,1626.0,1636.0,-29151.0,5180.1,usa
2001-09-30,178.1,88.6749,1040.93994140625,284968955.0,181988900.0,4.833333333333333,3.5015217391304345,4.98,4.98,3.64,4.483333333333333,3.17,1.3195081967213114,7.949999999999999,7.1066666666666665,0.2555,88.56666666666666,75.27283333333332,14214.516,10598.02,7070.337,1944.909,1953.408,998.902,1369.536,136846.0,1565.0,1562.0,-30217.0,5355.1,usa
2001-12-31,177.4,87.8518,1148.0799560546875,284968955.0,182712100.0,5.5,2.130434782608696,4.7700000000000005,4.7700000000000005,2.873333333333333,4.09,1.906666666666667,1.895,7.923333333333333,6.923333333333333,0.2367213114754098,85.13333333333334,73.95870000000001,14253.574,10660.465,7187.32,1850.091,1992.742,953.52,1323.208,136047.0,1680.0,1568.0,-27488.0,5440.5,usa
2002-03-31,178.5,89.1265,1147.3900146484375,287625193.0,183076900.0,5.7,1.732888888888889,5.076666666666667,5.076666666666667,3.203333333333333,4.46,1.72,1.8786666666666667,7.956666666666666,6.623333333333332,0.182,93.13333333333333,74.12483333333334,14372.785,10783.5,7217.715,1912.659,2040.01,969.157,1356.041,136177.0,1691.0,1642.0,-31161.0,5502.0,usa
2002-06-30,179.6,90.6736,989.8200073242188,287625193.0,183669200.0,5.833333333333333,1.7515384615384617,5.1000000000000005,5.1000000000000005,3.223333333333333,4.443333333333334,1.7133333333333332,1.8721875,8.023333333333333,6.713333333333334,0.2061666666666667,94.1,75.0518,14460.848,10887.46,7307.955,1933.282,2074.482,1004.154,1432.413,136415.0,1758.0,1717.0,-34732.0,5553.3,usa
2002-09-30,180.8,90.6373,815.280029296875,287625193.0,184252100.0,5.733333333333333,1.7408695652173911,4.260000000000001,4.260000000000001,2.23,3.3466666666666662,1.643333333333333,2.03359375,7.626666666666668,6.3500000000000005,0.1666666666666666,87.26666666666665,75.4436,14519.633,10984.04,7397.135,1933.197,2101.256,1015.56,1463.107,137302.0,1803.0,1804.0,-36088.0,5662.3,usa
2002-12-31,181.8,90.3906,879.8200073242188,287625193.0,184904600.0,5.866666666666667,1.4442391304347826,4.006666666666667,4.006666666666667,1.89,3.01,1.3333333333333333,2.1151612903225807,7.6,6.28,0.2147540983606557,83.83333333333333,75.43586666666666,14537.58,11061.433,7472.958,1942.531,2142.232,1003.046,1499.335,136426.0,1896.0,1788.0,-43607.0,5779.4,usa
2003-03-31,183.9,91.0006,848.1799926757812,290107933.0,186118700.0,5.866666666666667,1.2496666666666667,3.92,3.92,1.6466666666666665,2.91,1.1566666666666665,2.270983606557377,7.12,6.003333333333333,0.1768852459016393,79.96666666666667,75.9953,14614.141,11174.129,7567.16,1960.221,2172.01,1004.201,1529.463,137434.0,1757.0,1726.0,-43806.0,5868.4,usa
2003-06-30,183.1,90.5196,974.5,290107933.0,186888000.0,6.133333333333333,1.2467032967032967,3.62,3.62,1.4233333333333331,2.5733333333333337,1.04,2.199047619047619,6.473333333333334,5.31,0.1981967213114754,89.26666666666667,75.51623333333333,14743.567,11312.766,7661.458,1972.386,2198.793,1007.465,1527.336,137790.0,1875.0,1867.0,-39696.0,6002.2,usa
